"condition","relative_path","bytes","status","error_marker","missing_fields","admission_decision"
"H0","au-01\run-1\raw-transcript.md","18149","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","au-01\run-2\raw-transcript.md","365","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","au-01\run-3\raw-transcript.md","9060","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","au-02\run-1\raw-transcript.md","627","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","au-02\run-2\raw-transcript.md","365","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","au-02\run-3\raw-transcript.md","8870","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","case-01\run-1\raw-transcript.md","422","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-01\run-1\raw-transcript.md","627","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-01\run-2\raw-transcript.md","5557","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-01\run-3\raw-transcript.md","15624","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-02\run-1\raw-transcript.md","15576","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-02\run-2\raw-transcript.md","365","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-02\run-3\raw-transcript.md","7532","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-03\run-1\raw-transcript.md","9021","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-03\run-2\raw-transcript.md","365","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-03\run-3\raw-transcript.md","8967","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-04\run-1\raw-transcript.md","10114","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H0","nz-04\run-2\raw-transcript.md","365","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
